idno,auction,consign,sold,lotdamag,grossrev,ebitda,ftterm,fthead,ptterm,pthead,wcclaims,osha,type,legacy,training,t1,t2,t3,trhrs,prof,pfevale,jobdesc,selection,griev,fininf,plninf,rotat,cross,bonus,merit,senpay,intprom,intpost,applic,gmten,ei,oc
12,Charlotte,79068,47427,"$52,217.00","$18,863,782.00","$5,659,715.00",84,85,65,52,6,21,2,1,1,1,1,1,20,3,0,3,1,1,1,1,1,1,0,1,0,1,1,10,5,2.355,2.56
13,Cherry Hill,185203,120640,"$319,860.77","$45,564,153.00","$12,316,310.83",185,556,34,102,13,20,3,2,0,1,1,1,33,1,5,1,1,0,1,1,0,1,1,1,0,2,1,14,1,2.540,1.45
14,Cinci/Dayton,50683,31890,"$14,279.00","$11,242,082.00","$4,077,833.00",45,57,30,89,4,12,2,2,1,1,1,1,40,3,5,2,1,0,1,1,0,1,1,1,0,1,1,8,3,3.430,4.34
15,Clearwater,25795,14244,"$15,497.00","$3,950,872.00","$615,499.00",23,31,53,36,3,7,2,1,1,1,1,0,12,4,5,5,1,1,0,1,0,1,0,1,0,1,1,5,1,2.854,4.23
16,Cleveland,44776,27514,"$38,467.00","$8,969,092.00","$2,585,365.00",108,102,24,75,5,18,3,2,0,1,1,0,8,4,1,1,0,0,1,1,0,1,0,0,0,1,1,5,8,1.970,1.23
17,Co Springs,48689,27956,"$112,001.00","$13,414,039.00","$2,641,456.00",84,127,29,48,17,20,2,2,0,1,0,0,4,2,5,1,1,1,0,1,0,1,1,1,0,1,1,5,2,1.430,2.64
18,Concord,22776,9773,"$14,911.00","$4,660,222.00","$762,631.00",22,37,28,18,2,4,2,2,1,1,0,1,4,4,5,4,0,1,1,1,0,1,1,1,0,1,1,5,2,3.582,3.04
19,Dallas,88230,56527,"$101,459.00","$24,293,639.00","$10,278,204.00",51,121,12,68,8,15,2,1,1,1,1,1,4,1,3,1,0,0,1,1,0,1,0,0,0,1,1,4,2,4.230,2.11
20,Dartmouth,97104,63617,"$70,853.00","$22,007,162.50","$7,996,108.50",132,281,78,150,4,23,2,1,1,1,1,1,25,3,5,1,1,1,1,1,0,1,1,1,0,4,1,14,12,3.140,2.47
21,Des Moines,39720,24267,"$31,744.00","$7,475,031.00","$2,015,926.00",56,62,69,80,0,0,2,2,1,1,1,1,4,1,4,1,0,0,1,0,1,1,1,0,0,1,1,4,4,3.480,2.72
